sport,event,year,athlete_id,country_id,medal
Gymnastics,Gymnastics Men's Individual All-Around,2016-01-01,51,173,
Gymnastics,Gymnastics Men's Floor Exercise,2016-01-01,51,173,
Gymnastics,Gymnastics Men's Parallel Bars,2016-01-01,51,173,
Gymnastics,Gymnastics Men's Horizontal Bar,2016-01-01,51,173,
Gymnastics,Gymnastics Men's Rings,2016-01-01,51,173,
Gymnastics,Gymnastics Men's Pommelled Horse,2016-01-01,51,173,
Track and Field,"Men's 5,000 metres",2016-01-01,55,173,
Track and Field,Men's 400 metres,2016-01-01,110,15,
Track and Field,"Men's 5,000 metres",2016-01-01,251,19,
Track and Field,"Men's 10,000 metres",2016-01-01,251,19,
Track and Field,Women's 200 metres,2016-01-01,273,28,
Track and Field,Men's Decathlon,2016-01-01,402,71,
Track and Field,Men's Marathon,2016-01-01,412,63,
Swimming,Swimming Men's 100 metres Freestyle,2016-01-01,430,174,
Gymnastics,Gymnastics Men's Team All-Around,2016-01-01,455,152,Silver
Gymnastics,Gymnastics Men's Floor Exercise,2016-01-01,455,152,
Gymnastics,Gymnastics Men's Horse Vault,2016-01-01,455,152,Silver
Gymnastics,Gymnastics Men's Rings,2016-01-01,455,152,Bronze
Swimming,Swimming Men's 50 metres Freestyle,2016-01-01,465,11,
Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,2016-01-01,465,11,Bronze
Track and Field,Men's Marathon,2016-01-01,511,179,
Track and Field,Women's Shot Put,2016-01-01,533,18,
Track and Field,Women's 400 metres,2016-01-01,551,80,
Track and Field,Men's Shot Put,2016-01-01,554,70,
Track and Field,Women's Marathon,2016-01-01,574,42,
Swimming,Swimming Men's 50 metres Freestyle,2016-01-01,578,54,
Track and Field,Men's Marathon,2016-01-01,593,95,
Track and Field,Men's 100 metres,2016-01-01,611,140,
Track and Field,Women's 100 metres,2016-01-01,613,160,
Swimming,Swimming Men's 100 metres Backstroke,2016-01-01,650,34,
Swimming,Swimming Men's 4 x 100 metres Medley Relay,2016-01-01,650,34,
Track and Field,Women's 4 x 100 metres Relay,2016-01-01,668,72,
Swimming,Swimming Men's 200 metres Freestyle,2016-01-01,720,59,
Swimming,Swimming Men's 400 metres Freestyle,2016-01-01,720,59,
Swimming,"Swimming Men's 1,500 metres Freestyle",2016-01-01,720,59,
Track and Field,Men's 100 metres,2016-01-01,804,154,
Track and Field,Men's 200 metres,2016-01-01,804,154,
Track and Field,Men's 4 x 100 metres Relay,2016-01-01,804,154,
Swimming,Swimming Women's 200 metres Butterfly,2016-01-01,811,195,
Track and Field,Men's Marathon,2016-01-01,823,11,
Track and Field,Women's Shot Put,2016-01-01,846,131,Silver
Track and Field,Women's 400 metres,2016-01-01,900,15,
Track and Field,"Men's 5,000 metres",2016-01-01,915,61,
Track and Field,Women's Marathon,2016-01-01,931,192,
Track and Field,Men's High Jump,2016-01-01,961,195,
Swimming,Swimming Men's 50 metres Freestyle,2016-01-01,1017,195,Bronze
Swimming,Swimming Men's 100 metres Freestyle,2016-01-01,1017,195,Bronze
Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,2016-01-01,1017,195,Gold
Swimming,Swimming Men's 4 x 100 metres Medley Relay,2016-01-01,1017,195,Gold
Swimming,Swimming Men's 50 metres Freestyle,2016-01-01,1052,19,
Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,2016-01-01,1052,19,
Swimming,Swimming Women's 100 metres Backstroke,2016-01-01,1087,157,
Track and Field,Men's Triple Jump,2016-01-01,1162,9,
Swimming,Swimming Men's 200 metres Freestyle,2016-01-01,1173,67,
Track and Field,Women's Marathon,2016-01-01,1234,173,
Track and Field,Women's Heptathlon,2016-01-01,1242,42,
Track and Field,Women's Javelin Throw,2016-01-01,1265,50,
Track and Field,Women's Pole Vault,2016-01-01,1320,34,
Track and Field,"Men's 5,000 metres",2016-01-01,1405,34,
Track and Field,"Men's 10,000 metres",2016-01-01,1405,34,
Track and Field,Men's 100 metres,2016-01-01,1421,16,
Track and Field,Women's 100 metres,2016-01-01,1439,48,
Track and Field,Women's 200 metres,2016-01-01,1439,48,
Track and Field,Women's 100 metres,2016-01-01,1462,187,
Track and Field,Women's 200 metres,2016-01-01,1462,187,
Track and Field,Women's 4 x 100 metres Relay,2016-01-01,1462,187,
Swimming,Swimming Women's 200 metres Freestyle,2016-01-01,1464,40,
Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,2016-01-01,1464,40,
Track and Field,Women's 20 kilometres Walk,2016-01-01,1477,108,
Track and Field,Men's 4 x 100 metres Relay,2016-01-01,1488,73,
Gymnastics,Gymnastics Men's Team All-Around,2016-01-01,1526,67,
Gymnastics,Gymnastics Men's Rings,2016-01-01,1526,67,
Track and Field,Women's Marathon,2016-01-01,1527,3,
Track and Field,Men's 4 x 100 metres Relay,2016-01-01,1561,34,Bronze
Track and Field,Women's 4 x 100 metres Relay,2016-01-01,1575,67,
Track and Field,"Women's 3,000 metres Steeplechase",2016-01-01,1599,189,
Track and Field,"Men's 3,000 metres Steeplechase",2016-01-01,1600,189,
Track and Field,Women's 4 x 100 metres Relay,2016-01-01,1682,195,Gold
Track and Field,Women's 800 metres,2016-01-01,1696,125,
Track and Field,"Women's 1,500 metres",2016-01-01,1696,125,
Track and Field,"Men's 3,000 metres Steeplechase",2016-01-01,1697,189,
Swimming,Swimming Men's 400 metres Freestyle,2016-01-01,1721,58,
Swimming,"Swimming Men's 1,500 metres Freestyle",2016-01-01,1721,58,
Swimming,Swimming Women's 50 metres Freestyle,2016-01-01,1746,16,
Track and Field,Women's 100 metres,2016-01-01,1749,16,
Track and Field,Women's 100 metres,2016-01-01,1780,137,
Track and Field,"Men's 5,000 metres",2016-01-01,1787,160,
Swimming,Swimming Women's 50 metres Freestyle,2016-01-01,1807,140,
Swimming,Swimming Women's 50 metres Freestyle,2016-01-01,1832,194,
Track and Field,Men's Discus Throw,2016-01-01,1856,160,
Track and Field,Women's 400 metres,2016-01-01,1943,149,
Track and Field,Men's 100 metres,2016-01-01,1946,137,
Track and Field,Women's 100 metres,2016-01-01,1993,15,
Swimming,Swimming Men's 100 metres Backstroke,2016-01-01,2008,149,
Swimming,Swimming Women's 50 metres Freestyle,2016-01-01,2021,15,
Track and Field,"Men's 5,000 metres",2016-01-01,2090,160,
Swimming,Swimming Men's 100 metres Backstroke,2016-01-01,2119,194,
Track and Field,Women's Marathon,2016-01-01,2135,140,
Track and Field,"Men's 3,000 metres Steeplechase",2016-01-01,2169,125,
Track and Field,"Men's 1,500 metres",2016-01-01,2197,194,
Track and Field,"Women's 3,000 metres Steeplechase",2016-01-01,2236,125,
Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,2016-01-01,2314,173,
Track and Field,Women's 200 metres,2016-01-01,2408,119,
Track and Field,Men's 400 metres Hurdles,2016-01-01,2467,148,
Track and Field,Women's 800 metres,2016-01-01,2537,63,
Track and Field,Women's 400 metres,2016-01-01,2574,156,
Track and Field,Women's Long Jump,2016-01-01,2604,74,
Track and Field,Men's 200 metres,2016-01-01,2663,175,
